"","Grenada","Barbados","Saint Vincent","Saint Lucia","Martinique","Dominica","Saint Louis","Guadeloupe","Montserrat","Antigua","Saint Kitts","Barbuda","Hispaniola","Saint Croix","Jamaica","Puerto Rico","Saint Martin","Vieques","St. Thomas","Gonave Island","Grand Cayman","Cuba","Tortuga","Great Inagua Island","Little Inagua","Isla de la Juventud","East Caicos","Middle Caicos","Providenciales","North Caicos","Acklins Island","Mayaguana","Crooked Island","Long Island","Great Exuma","South Andros","San Salvador Island","Mangrove Cay","Cat Island","North Andros","Eleuthera","New Providence","Great Abaco Island","Grand Bahama Island"
"Grenada",NA,2,9.75,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Barbados",NA,NA,NA,6.25,6.25,4.25,18.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Saint Vincent",0.25,1.75,NA,0,4.5,11.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Saint Lucia",0.75,0.5,0,NA,5,2.25,2.75,4.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Martinique",1.25,0.5,0,0,NA,5.5,0,1.25,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dominica",4.5,1.75,2.75,0.5,0,NA,15.25,6.25,9.25,NA,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Saint Louis",4.75,1.75,3,0.5,0,0,NA,0,0,2.25,0.75,12.75,NA,NA,NA,NA,43.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Guadeloupe",5.75,6.25,4,3.25,0.75,0,0,NA,0.75,1,1.5,0,NA,NA,NA,NA,43.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Montserrat",9.75,30.75,8,8.25,5.25,3.75,0.25,0,NA,0,54.25,10.25,NA,NA,NA,NA,55.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Antigua",NA,11,NA,9.5,8.75,4,1,0.5,0,NA,NA,0,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Saint Kitts",10.25,13.5,8.5,8.75,5.75,4.25,0.5,1.25,0.25,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Barbuda",8.75,9,7,3.75,2.75,1.25,0.25,0.75,10,14.25,10.25,NA,40.7916666666661,NA,NA,31.2916666666661,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hispaniola",25.25,21.2916666666679,24,18.7916666666679,16.2916666666679,18.0416666666679,13.25,20,21,22,18.25,19.25,NA,12.75,0,0.25,19.75,12.4583333333339,11.5,17.2916666666679,10.75,0,3.75,5.95833333333212,8.45833333333212,17.5,8.75,34.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Saint Croix",14.5,36,12.5,11.75,11,33.25,7.25,27.5,25.5,21,11.75,15.5,NA,NA,NA,21.25,3.5,4.25,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
